adult,belongs_to_collection,budget,original_language,original_title,overview,popularity,release_date,revenue,runtime,tagline,title,vote_average,vote_count,languages,day_of_week,month,season,year,has_homepage,genre,companies,countries
False,not available,0,en,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,1995-12-22,0.0,88.0,not available,Dracula: Dead and Loving It,5.7,210.0,"['English', 'Deutsch']",Friday,Dec,Q4,1995,NO,"['Comedy', 'Horror']","['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']","['France', 'United States of America']"
False,Balto Collection,0,en,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,1995-12-22,11348324.0,78.0,Part Dog. Part Wolf. All Hero.,Balto,7.1,423.0,['English'],Friday,Dec,Q4,1995,NO,"['Family', 'Animation', 'Adventure']","['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",['United States of America']
False,not available,44000000,en,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,1995-12-22,13681765.0,192.0,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,7.1,72.0,['English'],Friday,Dec,Q4,1995,NO,"['History', 'Drama']","['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America']
False,not available,98000000,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,1995-12-22,10017322.0,119.0,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,5.7,137.0,"['English', 'Latin']",Friday,Dec,Q4,1995,NO,"['Action', 'Adventure']","['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['France', 'Germany', 'Italy', 'United States of America']"
False,not available,52000000,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,1995-11-22,116112375.0,178.0,No one stays at the top forever.,Casino,7.8,1343.0,['English'],Wednesday,Nov,Q4,1995,NO,"['Drama', 'Crime']","['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['France', 'United States of America']"
False,not available,16500000,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,1995-12-13,135000000.0,136.0,Lose your heart and come to your senses.,Sense and Sensibility,7.2,364.0,['English'],Wednesday,Dec,Q4,1995,NO,"['Drama', 'Romance']","['Columbia Pictures Corporation', 'Mirage Enterprises']","['United Kingdom', 'United States of America']"
False,not available,4000000,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,1995-12-09,4300000.0,98.0,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,6.5,539.0,['English'],Saturday,Dec,Q4,1995,NO,"['Crime', 'Comedy']","['Miramax Films', 'A Band Apart']",['United States of America']
False,Ace Ventura Collection,30000000,en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,1995-11-10,212385533.0,90.0,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,6.1,1128.0,['English'],Friday,Nov,Q4,1995,NO,"['Crime', 'Comedy', 'Adventure']","['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",['United States of America']
False,not available,60000000,en,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,1995-11-21,35431113.0,103.0,"Get on, or GET OUT THE WAY!",Money Train,5.4,224.0,['English'],Tuesday,Nov,Q4,1995,NO,"['Action', 'Comedy', 'Crime']",['Columbia Pictures'],['United States of America']
False,Chili Palmer Collection,30250000,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,1995-10-20,115101622.0,105.0,"The mob is tough, but it’s nothing like show business.",Get Shorty,6.4,305.0,['English'],Friday,Oct,Q4,1995,NO,"['Comedy', 'Thriller', 'Crime']","['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America']
False,not available,0,en,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,10.701801,1995-10-27,0.0,124.0,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,6.5,199.0,"['English', 'Deutsch']",Friday,Oct,Q4,1995,NO,"['Drama', 'Thriller']","['Regency Enterprises', 'New Regency Pictures']",['United States of America']
False,not available,50000000,en,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,1995-10-06,30303072.0,132.0,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,6.0,394.0,"['English', 'Español', 'Nederlands']",Friday,Oct,Q4,1995,NO,"['Action', 'Adventure', 'Crime', 'Thriller']","['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['France', 'United States of America']"
False,not available,0,en,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",12.133094,1995-10-27,0.0,111.0,An extraordinary encounter with another human being.,Powder,6.3,143.0,['English'],Friday,Oct,Q4,1995,NO,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']","['Caravan Pictures', 'Hollywood Pictures']",['United States of America']
False,not available,3600000,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,1995-10-27,49800000.0,112.0,I Love You... The Way You Are.,Leaving Las Vegas,7.1,365.0,['English'],Friday,Oct,Q4,1995,YES,"['Drama', 'Romance']","['United Artists', 'Intial Productions']",['United States of America']
False,not available,0,en,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,1995-12-15,0.0,123.0,"Envy, greed, jealousy and love.",Othello,7.0,33.0,['English'],Friday,Dec,Q4,1995,NO,['Drama'],"['Columbia Pictures', 'Castle Rock Entertainment']",['Italy']
False,not available,12000000,en,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,1995-10-20,27400000.0,100.0,In every woman there is the girl she left behind.,Now and Then,6.6,91.0,['English'],Friday,Oct,Q4,1995,NO,"['Comedy', 'Drama', 'Family']",['New Line Cinema'],['United States of America']
False,not available,0,en,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,1995-09-27,0.0,104.0,not available,Persuasion,7.4,36.0,['English'],Wednesday,Sep,Q3,1995,NO,"['Drama', 'Romance']",['BBC Films'],"['United Kingdom', 'France']"
False,not available,18000000,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,1995-05-16,1738611.0,108.0,Where happily ever after is just a dream.,The City of Lost Children,7.6,308.0,"['广州话 / 廣州話', 'Français']",Tuesday,May,Q2,1995,NO,"['Fantasy', 'Science Fiction', 'Adventure']","['Procirep', 'Constellation Productions', 'France 3 Cinéma', 'Claudie Ossard Productions', 'Eurimages', 'MEDIA Programme of the European Union', 'Cofimage 5', 'Televisión Española (TVE)', 'Tele München Fernseh Produktionsgesellschaft (TMG)', ""Club d'Investissement Média"", 'Canal+ España', 'Elías Querejeta Producciones Cinematográficas S.L.', 'Centre National de la Cinématographie (CNC)', 'Victoires Productions', 'Constellation', 'Lumière Pictures', 'Canal+', 'Studio Image', 'Cofimage 4', 'Ossane', 'Phoenix Images']","['France', 'Germany', 'Spain']"
False,not available,0,zh,摇啊摇，摇到外婆桥,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1.100915,1995-04-30,0.0,108.0,In 1930's Shanghai violence was not the problem. It was the solution.,Shanghai Triad,6.5,17.0,['普通话'],Sunday,Apr,Q2,1995,NO,"['Drama', 'Crime']","['Ministère des Affaires Étrangères', 'Alpha Films', 'La Sept Cinéma']","['China', 'France']"
False,not available,0,en,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,1995-08-11,180000000.0,99.0,She broke the rules... and changed their lives.,Dangerous Minds,6.4,249.0,['English'],Friday,Aug,Q3,1995,NO,"['Drama', 'Crime']","['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",['United States of America']
False,not available,29500000,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,1995-12-29,168840000.0,129.0,The future is history.,Twelve Monkeys,7.4,2470.0,"['English', 'Français']",Friday,Dec,Q4,1995,NO,"['Science Fiction', 'Thriller', 'Mystery']","['Universal Pictures', 'Atlas Entertainment', 'Classico']",['United States of America']
False,not available,0,fr,"Guillaumet, les ailes du courage",not available,0.745542,1996-09-18,0.0,50.0,not available,Wings of Courage,6.8,4.0,['English'],Wednesday,Sep,Q3,1996,NO,"['Romance', 'Adventure']",['Iwerks Entertainment'],"['France', 'United States of America']"
False,Babe Collection,30000000,en,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,1995-07-18,254134910.0,89.0,A little pig goes a long way.,Babe,6.0,756.0,['English'],Tuesday,Jul,Q3,1995,NO,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Universal Pictures', 'Kennedy Miller Productions']","['Australia', 'United States of America']"
False,not available,0,en,Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,1995-11-08,0.0,121.0,A Love so Unusual it has to be True,Carrington,6.4,16.0,['English'],Wednesday,Nov,Q4,1995,NO,"['History', 'Drama', 'Romance']","['StudioCanal', 'Cinéa', 'Euston Films', 'Freeway Films', 'European Co-production Fund', 'Polygram Filmed Entertainment', 'Orsans Productions']","['France', 'United Kingdom']"
False,not available,11000000,en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,1995-12-29,39363635.0,122.0,not available,Dead Man Walking,7.3,350.0,['English'],Friday,Dec,Q4,1995,NO,['Drama'],"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']","['United States of America', 'United Kingdom']"
False,not available,0,en,Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.114469,1995-10-20,0.0,51.0,not available,Across the Sea of Time,3.5,2.0,"['Pусский', 'English']",Friday,Oct,Q4,1995,NO,"['Adventure', 'History', 'Drama', 'Family']",['Sony New Technologies'],['United States of America']
False,not available,0,en,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.777735,1995-11-17,0.0,101.0,Two identical strangers. Two different worlds. One perfect match.,It Takes Two,6.1,149.0,['English'],Friday,Nov,Q4,1995,NO,"['Comedy', 'Family', 'Romance']","['Dualstar Productions', 'Warner Bros.', 'Rysher Entertainment', 'Orr & Cruickshank']",['United States of America']
False,not available,12000000,en,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.882383,1995-07-19,0.0,97.0,Sex. Clothes. Popularity. Is there a problem here?,Clueless,6.9,828.0,"['Español', 'English']",Wednesday,Jul,Q3,1995,NO,"['Comedy', 'Drama', 'Romance']",['Paramount Pictures'],['United States of America']
False,not available,0,en,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0.894647,1995-12-15,676525.0,106.0,not available,"Cry, the Beloved Country",6.7,13.0,['English'],Friday,Dec,Q4,1995,NO,['Drama'],"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']",['South Africa']
False,not available,0,en,Richard III,Shakespeare's Play transplanted into a 1930s setting.,4.561387,1995-12-29,0.0,104.0,"I can smile, and murder while I smile",Richard III,6.9,50.0,['English'],Friday,Dec,Q4,1995,NO,"['Drama', 'War']","['British Screen', 'Mayfair Entertainment International']","['United Kingdom', 'United States of America']"
False,not available,10000000,en,Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",9.87957,1995-10-06,0.0,119.0,"In this daring heist, the only color that counts is green",Dead Presidents,6.6,80.0,['English'],Friday,Oct,Q4,1995,NO,"['Action', 'Crime', 'Drama', 'History']","['Caravan Pictures', 'Underworld Entertainment', 'Hollywood Pictures']",['United States of America']
False,not available,19000000,en,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10.979269,1995-12-29,0.0,117.0,not available,Restoration,6.3,30.0,"['English', 'Español']",Friday,Dec,Q4,1995,NO,"['Drama', 'Romance']",['Miramax Films'],['United States of America']
False,Mortal Kombat Collection,18000000,en,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,1995-08-18,122195920.0,101.0,Nothing In This World Has Prepared You For This.,Mortal Kombat,5.4,452.0,['English'],Friday,Aug,Q3,1995,NO,"['Action', 'Fantasy']","['New Line Cinema', 'Threshold Entertainment']",['United States of America']
False,not available,20000000,en,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,1995-05-20,21284514.0,106.0,All she wanted was a little attention.,To Die For,6.7,177.0,['English'],Saturday,May,Q2,1995,NO,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","['The Rank Organisation', 'Columbia Pictures Corporation']",['United States of America']
False,not available,10000000,en,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,1995-10-06,23574130.0,116.0,There's beauty in the patterns of life.,How To Make An American Quilt,6.5,38.0,['English'],Friday,Oct,Q4,1995,NO,"['Drama', 'Romance']","['Universal Pictures', 'Amblin Entertainment']",['United States of America']
False,not available,33000000,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,1995-09-22,327311859.0,127.0,Seven deadly sins. Seven ways to die.,Se7en,8.1,5915.0,['English'],Friday,Sep,Q3,1995,YES,"['Crime', 'Mystery', 'Thriller']","['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",['United States of America']
False,Pocahontas Collection,55000000,en,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,1995-06-14,346079773.0,81.0,An American legend comes to life.,Pocahontas,6.7,1509.0,['English'],Wednesday,Jun,Q2,1995,NO,"['Adventure', 'Animation', 'Drama', 'Family']","['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America']
False,not available,0,en,When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,1995-05-05,0.0,96.0,not available,When Night Is Falling,5.9,10.0,['English'],Friday,May,Q2,1995,NO,"['Drama', 'Romance']",['Alliance Communications Corporation'],['Canada']
False,not available,6000000,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,1995-07-19,23341568.0,106.0,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,8.1,3334.0,"['Español', 'English', 'Français', 'Magyar']",Wednesday,Jul,Q3,1995,YES,"['Drama', 'Crime', 'Thriller']","['Blue Parrot Productions', 'Bad Hat Harry Productions']",['United States of America']
False,not available,0,en,Guardian Angel,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",0.595949,1994-11-22,0.0,93.0,She's no angel of mercy.,Guardian Angel,6.3,3.0,[],Tuesday,Nov,Q4,1994,NO,"['Action', 'Thriller', 'Drama']",[],[]
False,not available,15000000,en,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15.899134,1995-09-13,6700000.0,95.0,not available,Mighty Aphrodite,6.7,145.0,['English'],Wednesday,Sep,Q3,1995,NO,"['Comedy', 'Romance']","['Miramax Films', 'Magnolia Pictures']",['United States of America']
